No,thread_url,post_code
203,https://www.threads.net/@asa_to_ame/post/DU0TZgBE7I4,DU0TZgBE7I4
204,https://www.threads.net/@asa_to_ame/post/DU0I04VkpSS,DU0I04VkpSS
205,https://www.threads.net/@asa_to_ame/post/DU0FZGmk-Q-,DU0FZGmk-Q-
206,https://www.threads.net/@asa_to_ame/post/DU0FaY_E4SX,DU0FaY_E4SX
207,https://www.threads.net/@asa_to_ame/post/DU0FQMxE7hh,DU0FQMxE7hh
208,https://www.threads.net/@asa_to_ame/post/DU0FQLmEzp5,DU0FQLmEzp5
209,https://www.threads.net/@asa_to_ame/post/DUz_J4-kwy9,DUz_J4-kwy9
210,https://www.threads.net/@asa_to_ame/post/DUz7ErCAOoB,DUz7ErCAOoB
211,https://www.threads.net/@asa_to_ame/post/DUz8JoCkyhm,DUz8JoCkyhm
212,https://www.threads.net/@asa_to_ame/post/DUzns7dExjp,DUzns7dExjp
213,https://www.threads.net/@asa_to_ame/post/DUze17qD6gm,DUze17qD6gm
214,https://www.threads.net/@asa_to_ame/post/DUze2_HD7xr,DUze2_HD7xr
215,https://www.threads.net/@asa_to_ame/post/DUzaLHyE9yj,DUzaLHyE9yj
216,https://www.threads.net/@asa_to_ame/post/DUzZk_Ak-jb,DUzZk_Ak-jb
217,https://www.threads.net/@asa_to_ame/post/DUzV0C5k41U,DUzV0C5k41U
218,https://www.threads.net/@asa_to_ame/post/DUxq4A0j8D0,DUxq4A0j8D0
219,https://www.threads.net/@asa_to_ame/post/DUxq6Dnjx48,DUxq6Dnjx48
220,https://www.threads.net/@asa_to_ame/post/DUxKJTQD3SC,DUxKJTQD3SC
221,https://www.threads.net/@asa_to_ame/post/DUxKKHDj-oG,DUxKKHDj-oG
222,https://www.threads.net/@asa_to_ame/post/DUw614nD7mM,DUw614nD7mM
223,https://www.threads.net/@asa_to_ame/post/DUw63yWj-2f,DUw63yWj-2f
224,https://www.threads.net/@asa_to_ame/post/DUw1boWDw9l,DUw1boWDw9l
225,https://www.threads.net/@asa_to_ame/post/DUwg8lZkzsi,DUwg8lZkzsi
226,https://www.threads.net/@asa_to_ame/post/DUwgtBCE_CL,DUwgtBCE_CL
227,https://www.threads.net/@asa_to_ame/post/DUwgs_pE9qy,DUwgs_pE9qy
228,https://www.threads.net/@asa_to_ame/post/DUwgNZCE8Ij,DUwgNZCE8Ij
229,https://www.threads.net/@asa_to_ame/post/DUvM8loD_vn,DUvM8loD_vn
230,https://www.threads.net/@asa_to_ame/post/DUvM-p1j-Tz,DUvM-p1j-Tz
231,https://www.threads.net/@asa_to_ame/post/DUu_NsZD0HV,DUu_NsZD0HV
232,https://www.threads.net/@asa_to_ame/post/DUu_PzID0cS,DUu_PzID0cS
233,https://www.threads.net/@asa_to_ame/post/DUuxexIj1b6,DUuxexIj1b6
234,https://www.threads.net/@asa_to_ame/post/DUuxgtpjySS,DUuxgtpjySS
235,https://www.threads.net/@asa_to_ame/post/DUulWa8j9J_,DUulWa8j9J_
236,https://www.threads.net/@asa_to_ame/post/DUuWA-njzf_,DUuWA-njzf_
237,https://www.threads.net/@asa_to_ame/post/DUuWDHGD99N,DUuWDHGD99N
238,https://www.threads.net/@asa_to_ame/post/DUuQou-jzzD,DUuQou-jzzD
239,https://www.threads.net/@asa_to_ame/post/DUuBanfAfHL,DUuBanfAfHL
240,https://www.threads.net/@asa_to_ame/post/DUuBcvGge9N,DUuBcvGge9N
